Speaker,Dialogue
female," JOHNNY, PLEASE"
male right," ""Johnny, please.  Johnny please."""
female,You're scaring me.
male left," DADDY, DON'T. DADDY"
male right," I don't like you any more, Carol."
female, Put the scissors down.  You're scaring me.  Please.
male right,"Oh, Carol."
female,Johnny!  Stop!
male right,Don't grab at me!  Let
male left,Daddy!  No!
all three,Murderer!
johnny, Why'd you let me sleep so long?
carol,"It's Saturday, Johnny, you always --  Why are you staring at me like that?"
johnny,I'm unhappy that you let me sleep so long.
johnny,I didn't do anything!
officer 1,Come out of the closet on your hands and knees.
officer 1,Hands and knees!
johnny,I didn't...
officer 2,POSITIVE FOR JOHN PALMER.
officer 1," But you are under arrest for the future murderer of your wife, Carol Palmer.  You have no rights."
witwer,Thought we might a had a runner.
anderson,"Yeah, a runner."
witwer,A little chase -- that'd been good.
anderson,Fifty cops on the scene takes the chase out of them.
witwer, But only eight of us were real.
anderson,"We ever get a runner, I'd be too old to give chase."
witwer,"You'd chase.  You'd love it,.  Man."
anderson,I love it more Johnny boy doesn't get to murder his wife.
witwer, It's a beautiful world.
lisa,"Jesus, Paul.  Your heart's hammering.  I excite you that much?"
anderson,I used to love being a cop.
lisa,You're still a cop.  I'm a factory worker.  We don't catch murderers. We process them.
lisa,You're the best homicide cop in the country.
anderson,Great -- except there's no such thing as homicide.  What I do best doesn't exist anymore.
lisa,PAUL.  You're the Director of a perfect system.  A Cop with a perfect record
anderson,The Precogs have a perfect record. They identify the accused -- I just put on my monkey suit and go round them up.
lisa,And then I prosecute them.  And they go to jail.  And lives are saved. Thousands of lives.  And that's a cop's dream.
anderson,No.  You're a cop's dream.
anderson,Who called?
lisa,No one.  I called about my hair. Getting it done this afternoon.
anderson,"Come on in, neighbor.  Want some coffee?"
lisa,"Oh, Frank.  That's so sweet.  Thank you."
anderson,Before all this genetically engineered crap ...
anderson,Coffee?
lisa,You and Ellie come for supper then.
anderson,We'll barbecue.
intercom voice,"Yes, Director Anderson?"
anderson,Where's Ennis Page?  Why hasn't he delivered this morning's Precog discs?
intercom voice,"I'll find him, sir."
witwer,"Bullying the staff again, Director Anderson?"
anderson,Screw you.
witwer,The Johnny Palmer bust?
anderson,Yeah.
witwer,It was okay.  We got our man.
anderson,When do we not get our man?
page,"Sorry I'm late, sir.  Precogs put out a heavy national volume this morning -- four for our zone."
witwer,Now that's a guy who really cares.
tour guide,Welcome to the main headquarters of Precrime.  Smaller Precrime branches are scattered throughout the United States.
tour guide,That's exactly right!  A lot of people assume there are Precogs in every branch office. 
timmy,They protect us.
tour guide," That's right, Timmy.  Because of the Precogs, you're going to grow up murderfree.  Isn't that something?"
tour guide,"Never, sir.  It's an infallible system.  The Precogs predict a homicide, and our Precrime police then apprehend that future murderer before the event occurs.  And right next door is the Judicial Center, where we prosecute the future murderers."
timmy,Can we see the Precogs?
tour guide,"No, I'm sorry.  That part of the building is not open to the public.  Now, if you'll just step this way ..."
anderson,What would they think about if we unhooked them?
page,"They don't think, sir.  They just see."
lisa,"Director Anderson, do you swear that the disc you now present to the court is the only and authentic disc of the future murder of Carol Palmer by her husband, John Palmer?"
anderson,Yes.  This is the only and authentic disc of the event seen by the Precognitive mutants and recorded by the Precrime Division.  This is the immutable evidence of the infallible system.
lisa,The murder of Carol Palmer will occur ... ?
anderson,"In one week -- June 16th, 2040 at 10:33 in the morning."
carol,"Johnny, please --"
johnny,"""Johnny, please.  Johnny please."""
carol,You're scaring me.
johnny's son,"DADDY, DON'T.  DADDY"
johnny," I don't like you any more, Carol."
carol, Put the scissors down.  You're scaring me. Please.
johnny,I didn't do it.  I'm innocent!  It didn't happen!
judge,How does the defense plead?
defense attorney,The defense acknowledges the infallibility of the system.  We are Guilty.  We throw ourselves at the mercy of the court.
johnny,No! No! The Precogs are wrong!  No!
witwer, Looks like the old days.
anderson,That would be bad news for an infallible system.
witwer,We know it can't be a murder -- the Precogs would've seen it.  Why do you insist on coming to these things?
anderson,"Keeps the system honest.  And besides, I like to pretend I'm a cop."
officer,"Right here, sir."
anderson,Hi DOC.
holographic doctor,"Hello, Director Anderson."
witwer,"This a homicide, Doc?"
holographic doctor,"I'm presently analyzing neurohormones, Assistant Director Witwer.  I have not concluded my examination."
witwer,Bingo.  The guy put the gun to his own head.
holographic doctor,"I have not determined that yet, Assistant Director."
witwer,"You have good ears for a ghost, Doc."
holographic doctor,Please rotate the corpse to the lateral supine position.
witwer,Can you imagine if this was a homicide?  Who even knows how to hunt down a killer any more?
anderson,"I know how, dammit.  You know how."
witwer,"Easy, partner.  But you know what I'm saying.  The state legislatures are pushing to stop funding for training homicide detectives ..."
anderson,God bless the Precogs.
holographic doctor,"This event is a negative homicide. A mortal wound was generated by a .22 calibre bullet self-delivered to the parietal 'portion of the skull on June 10th, 2040, at 11:57 pm, "
witwer,"It's time to stop coming to these, partner."
anderson,Yeah.  You're right.
anderson,A little bit of me dies every time I come to one of these things.
lisa,"It's only a party, Paul."
anderson,I'd never have let them appoint me to Precrime if I'd have known this was going to be part of it.
lisa,You're exactly what Precrime needed. An amazing homicide cop and a real person in an unreal job.
lisa,"The public loves the Precogs.  But they give people the creeps, too.  You're something they understandp a regular cop running things."
anderson,Let's invite all these irregular assholes over for a barbecue.  Burgers and beer - think they'd come?
senator malcolm,"I'd come, Mr. Director.  And I'd make all the other assholes come with me."
senator malcolm,"I have a dream, Paul."
anderson,"I know you do, Senator."
senator malcolm,"Hundreds of Precogs.  Not just predicting murders, but predicting all crimes.  Burglary, arson, assaults ..."
anderson,How about jaywalking?  Littering? Now there's a crime.
